#Strengh of el nino/la nina events,,
#From http://ggweather.com/enso/oni.htm,,
"#based on ONI, Ocean Nino Index",,
years,phase,strength
1951-52,nino,weak
1952-53,nino,weak
1953-54,nino,weak
1958-59,nino,weak
1968-69,nino,weak
1969-70,nino,weak
1976-77,nino,weak
1977-78,nino,weak
1979-80,nino,weak
1994-95,nino,weak
2004-05,nino,weak
2006-07,nino,weak
1963-64,nino,mod
1986-87,nino,mod
1987-88,nino,mod
1991-92,nino,mod
2002-03,nino,mod
2009-10,nino,mod
1957-58,nino,strong
1965-66,nino,strong
1972-73,nino,strong
1982-83,nino,very.strong
1997-98,nino,very.strong
2015-16,nino,very.strong
1950-51,nina,weak
1954-55,nina,weak
1964-65,nina,weak
1967-68,nina,weak
1971-72,nina,weak
1974-75,nina,weak
1983-84,nina,weak
1984-85,nina,weak
1995-96,nina,weak
2000-01,nina,weak
2011-12,nina,weak
2016-17,nina,weak
1955-56,nina,mod
1970-71,nina,mod
1998-99,nina,mod
1999-00,nina,mod
2007-08,nina,mod
2010-11,nina,mod
1973-74,nina,strong
1975-76,nina,strong
1988-89,nina,strong
