"yr","MEI.mean.win","MEI.mean.spr","MEI.mean.sum","MEI.mean.fal","MEI.jun.dec.mean","MEI.ann.mean","MEI.ann.max","MEI.ann.min"
1950,-1.179,-1.30633333333333,-0.994333333333333,-0.953,-0.973666666666667,-1.10816666666667,-0.433,-1.445
1951,-1.15233333333333,-0.199666666666667,0.746,0.639,0.6925,0.00824999999999998,0.829,-1.204
1952,0.194333333333333,-0.277,-0.127,-0.066,-0.0965,-0.0689166666666667,0.419,-0.722
1953,0.221333333333333,0.555666666666667,0.360666666666667,0.164,0.262333333333333,0.325416666666667,0.773,0.03
1954,0.016,-1.21333333333333,-1.33833333333333,-1.20033333333333,-1.26933333333333,-0.934,0.147,-1.528
1955,-0.868666666666667,-1.84466666666667,-1.96466666666667,-1.82366666666667,-1.89416666666667,-1.62541666666667,-0.697,-2.209
1956,-1.37966666666667,-1.35133333333333,-1.24966666666667,-1.182,-1.21583333333333,-1.29066666666667,-1.022,-1.49
1957,-0.404,0.650333333333333,1.06033333333333,1.15966666666667,1.11,0.616583333333333,1.248,-0.941
1958,1.41033333333333,0.837666666666667,0.436,0.456666666666667,0.446333333333333,0.785166666666667,1.472,0.188
1959,0.613,0.0433333333333333,0.0283333333333333,-0.163666666666667,-0.0676666666666667,0.13025,0.796,-0.261
1960,-0.222333333333333,-0.193333333333333,-0.352,-0.367666666666667,-0.359833333333333,-0.283833333333333,-0.005,-0.465
1961,-0.169333333333333,-0.151,-0.273666666666667,-0.536333333333333,-0.405,-0.282583333333333,0.004,-0.634
1962,-0.929,-0.933666666666667,-0.598333333333333,-0.599333333333333,-0.598833333333333,-0.765083333333333,-0.505,-1.087
1963,-0.764,-0.453333333333333,0.582666666666667,0.800666666666667,0.691666666666667,0.0415,0.844,-0.863
1964,0.357666666666667,-0.974666666666667,-1.40633333333333,-1.13333333333333,-1.26983333333333,-0.789166666666667,0.874,-1.503
1965,-0.396,0.477333333333333,1.403,1.27766666666667,1.34033333333333,0.6905,1.443,-0.557
1966,1.05233333333333,0.053,-0.022,-0.0796666666666667,-0.0508333333333333,0.250916666666667,1.306,-0.199
1967,-0.819333333333333,-0.569,-0.512333333333333,-0.495666666666667,-0.504,-0.599083333333333,-0.217,-1.066
1968,-0.669666666666667,-0.947333333333333,-0.136333333333333,0.456,0.159833333333333,-0.324333333333333,0.586,-1.106
1969,0.65,0.706666666666667,0.287333333333333,0.525,0.406166666666667,0.54225,0.833,0.177
1970,0.335666666666667,-0.235,-1.119,-1.13166666666667,-1.12533333333333,-0.5375,0.415,-1.252
1971,-1.52266666666667,-1.56866666666667,-1.305,-1.24766666666667,-1.27633333333333,-1.411,-0.993,-1.87
1972,-0.429666666666667,0.417333333333333,1.73533333333333,1.71166666666667,1.7235,0.858666666666667,1.827,-0.596
1973,1.362,-0.117,-1.385,-1.67266666666667,-1.52883333333333,-0.453166666666667,1.726,-1.848
1974,-1.833,-1.12233333333333,-0.689,-1.06933333333333,-0.879166666666667,-1.17841666666667,-0.627,-1.939
1975,-0.672333333333333,-0.971666666666667,-1.70766666666667,-1.839,-1.77333333333333,-1.29766666666667,-0.538,-1.987
1976,-1.412,-0.453333333333333,0.772333333333333,0.663,0.717666666666667,-0.1075,1.038,-1.61
1977,0.311,0.435333333333333,0.787,0.940333333333333,0.863666666666667,0.618416666666667,0.986,0.139
1978,0.869333333333333,-0.255,-0.340666666666667,0.184666666666667,-0.078,0.114583333333333,0.936,-0.575
