"","yr","variable","MEI"
"1",1950,"dec.jan",-1.062
"2",1951,"dec.jan",-1.07
"3",1952,"dec.jan",0.419
"4",1953,"dec.jan",0.03
"5",1954,"dec.jan",-0.051
"6",1955,"dec.jan",-0.762
"7",1956,"dec.jan",-1.437
"8",1957,"dec.jan",-0.941
"9",1958,"dec.jan",1.472
"10",1959,"dec.jan",0.548
"11",1960,"dec.jan",-0.299
"12",1961,"dec.jan",-0.163
"13",1962,"dec.jan",-1.087
"14",1963,"dec.jan",-0.739
"15",1964,"dec.jan",0.874
"16",1965,"dec.jan",-0.557
"17",1966,"dec.jan",1.306
"18",1967,"dec.jan",-0.473
"19",1968,"dec.jan",-0.619
"20",1969,"dec.jan",0.664
"21",1970,"dec.jan",0.372
"22",1971,"dec.jan",-1.223
"23",1972,"dec.jan",-0.596
"24",1973,"dec.jan",1.726
"25",1974,"dec.jan",-1.939
"26",1975,"dec.jan",-0.538
"27",1976,"dec.jan",-1.61
"28",1977,"dec.jan",0.521
"29",1978,"dec.jan",0.773
"30",1979,"dec.jan",0.6
"31",1980,"dec.jan",0.672
"32",1981,"dec.jan",-0.262
"33",1982,"dec.jan",-0.27
"34",1983,"dec.jan",2.683
"35",1984,"dec.jan",-0.33
"36",1985,"dec.jan",-0.561
"37",1986,"dec.jan",-0.301
"38",1987,"dec.jan",1.25
"39",1988,"dec.jan",1.119
"40",1989,"dec.jan",-1.12
"41",1990,"dec.jan",0.237
"42",1991,"dec.jan",0.313
"43",1992,"dec.jan",1.743
"44",1993,"dec.jan",0.687
"45",1994,"dec.jan",0.353
"46",1995,"dec.jan",1.22
"47",1996,"dec.jan",-0.612
"48",1997,"dec.jan",-0.49
"49",1998,"dec.jan",2.466
"50",1999,"dec.jan",-1.053
"51",2000,"dec.jan",-1.139
"52",2001,"dec.jan",-0.505
"53",2002,"dec.jan",0.009
"54",2003,"dec.jan",1.218
"55",2004,"dec.jan",0.327
"56",2005,"dec.jan",0.32
"57",2006,"dec.jan",-0.438
"58",2007,"dec.jan",0.985
"59",2008,"dec.jan",-1.02
"60",2009,"dec.jan",-0.726
"61",2010,"dec.jan",1.067
"62",2011,"dec.jan",-1.739
"63",2012,"dec.jan",-0.993
"64",2013,"dec.jan",0.096
"65",2014,"dec.jan",-0.275
"66",2015,"dec.jan",0.42
"67",2016,"dec.jan",2.227
"68",1950,"jan.feb",-1.163
"69",1951,"jan.feb",-1.183
"70",1952,"jan.feb",0.117
"71",1953,"jan.feb",0.377
"72",1954,"jan.feb",-0.048
"73",1955,"jan.feb",-0.697
"74",1956,"jan.feb",-1.303
"75",1957,"jan.feb",-0.372
"76",1958,"jan.feb",1.439
"77",1959,"jan.feb",0.796
"78",1960,"jan.feb",-0.274
"79",1961,"jan.feb",-0.257
"80",1962,"jan.feb",-0.988
"81",1963,"jan.feb",-0.863
"82",1964,"jan.feb",0.468
"83",1965,"jan.feb",-0.353
"84",1966,"jan.feb",1.17
"85",1967,"jan.feb",-0.919
"86",1968,"jan.feb",-0.749
"87",1969,"jan.feb",0.833
"88",1970,"jan.feb",0.415
"89",1971,"jan.feb",-1.528
"90",1972,"jan.feb",-0.424
"91",1973,"jan.feb",1.5
"92",1974,"jan.feb",-1.793
"93",1975,"jan.feb",-0.6
"94",1976,"jan.feb",-1.392
