"yr","mo.char","NAO"
1821,"Jan",NA
1822,"Jan",NA
1823,"Jan",-3.39
1824,"Jan",-0.16
1825,"Jan",-0.23
1826,"Jan",-3.05
1827,"Jan",-0.45
1828,"Jan",1.27
1829,"Jan",-2.48
1830,"Jan",-2.33
1831,"Jan",-2.91
1832,"Jan",-0.04
1833,"Jan",-0.36
1834,"Jan",3.07
1835,"Jan",0.37
1836,"Jan",1.47
1837,"Jan",-1.16
1838,"Jan",-2.16
1839,"Jan",1.24
1840,"Jan",2.97
1841,"Jan",-0.71
1842,"Jan",2.45
1843,"Jan",2.99
1844,"Jan",0.2
1845,"Jan",1.17
1846,"Jan",2.26
1847,"Jan",0.03
1848,"Jan",-0.79
1849,"Jan",2.42
1850,"Jan",-0.16
1851,"Jan",3.29
1852,"Jan",1.46
1853,"Jan",1.31
1854,"Jan",1.28
1855,"Jan",-1.84
1856,"Jan",-1.25
1857,"Jan",-0.69
1858,"Jan",2.26
1859,"Jan",2.74
1860,"Jan",1.54
1861,"Jan",-0.56
1862,"Jan",1.15
1863,"Jan",1.12
1864,"Jan",2.03
1865,"Jan",0.15
1866,"Jan",2.06
1867,"Jan",-2.17
1868,"Jan",1.46
1869,"Jan",3.25
1870,"Jan",0.32
1871,"Jan",0.67
1872,"Jan",1.15
1873,"Jan",2.3
1874,"Jan",1.56
1875,"Jan",2.06
1876,"Jan",1.1
1877,"Jan",2.39
1878,"Jan",1.18
1879,"Jan",-0.71
1880,"Jan",0.42
1881,"Jan",-3.6
1882,"Jan",3.07
1883,"Jan",1.67
1884,"Jan",3.32
1885,"Jan",-0.8
1886,"Jan",-1.41
1887,"Jan",1.9
1888,"Jan",0.21
1889,"Jan",0.65
1890,"Jan",4.32
1891,"Jan",0.27
1892,"Jan",-0.77
1893,"Jan",-1.61
1894,"Jan",1.4
1895,"Jan",-2.61
1896,"Jan",-0.23
1897,"Jan",-2.36
1898,"Jan",1.97
1899,"Jan",0.68
1900,"Jan",1.38
1901,"Jan",0.98
1902,"Jan",1.41
1903,"Jan",1.28
1904,"Jan",2.24
1905,"Jan",1.81
1906,"Jan",2.64
1907,"Jan",1.58
1908,"Jan",0.64
1909,"Jan",1.82
1910,"Jan",2.57
1911,"Jan",0.82
1912,"Jan",-0.91
1913,"Jan",1.83
