"yr","NAO.mean.win","NAO.mean.spr","NAO.mean.sum","NAO.mean.fal"
1821,NA,NA,NA,NA
1822,NA,-1.15333333333333,-1.77666666666667,-0.926666666666667
1823,NA,NA,1.38333333333333,-0.783333333333333
1824,-0.45,-0.38,-0.88,NA
1825,0.103333333333333,0.0866666666666667,-0.146666666666667,0.576666666666667
1826,0.283333333333333,0.47,1.28333333333333,-0.94
1827,-0.78,0.1,-0.536666666666667,-0.58
1828,0.486666666666667,-0.96,-3.24,0.19
1829,-1.56666666666667,0.606666666666667,0.626666666666667,-0.0166666666666667
1830,0.816666666666667,0.726666666666667,1.62666666666667,0.366666666666667
1831,-0.0100000000000001,-2.32666666666667,-0.62,0.49
1832,0.97,-2.36333333333333,-0.0666666666666666,2.06333333333333
1833,-0.243333333333333,0.396666666666667,-0.846666666666667,1.27333333333333
1834,2.36666666666667,-1.04666666666667,-0.736666666666667,-0.623333333333333
1835,1.76,-0.113333333333333,1.07,-1.02333333333333
1836,1.27,0.773333333333333,1.84666666666667,-0.18
1837,0.143333333333333,-1.52,-0.74,1.74333333333333
1838,-0.913333333333333,-0.51,0.91,0.163333333333333
1839,2.07666666666667,0.156666666666667,0.756666666666667,-1.59666666666667
1840,-0.16,0.0666666666666667,0.58,-1.49
1841,0.11,1.00333333333333,-0.33,-0.0533333333333333
1842,3.38,-1.86333333333333,-2.27333333333333,-1.96
1843,-0.603333333333333,-0.126666666666667,2.22333333333333,0.7
1844,0.466666666666667,0.34,-0.723333333333333,-0.97
1845,0.23,0.553333333333333,-0.226666666666667,0.82
1846,1.54666666666667,0.0733333333333333,0.453333333333333,-1.04333333333333
1847,-0.486666666666667,0.89,0.52,1.55333333333333
1848,0.58,-0.703333333333333,0.653333333333333,-0.243333333333333
1849,1.54333333333333,-1.57333333333333,-0.11,-0.173333333333333
1850,0.583333333333333,0.07,-0.54,0.683333333333333
1851,1.94,-1.60333333333333,0.38,0.25
1852,-0.21,-0.42,-0.07,-0.516666666666667
1853,-1.01666666666667,-0.44,-0.273333333333333,-1.41333333333333
1854,1.89,0.286666666666667,0.223333333333333,0.656666666666667
1855,-1.89666666666667,-0.17,0.663333333333333,-1.72333333333333
