"Date","Value","yr","mo"
195101,1.5,1951,"01"
195102,0.9,1951,"02"
195103,-0.1,1951,"03"
195104,-0.3,1951,"04"
195105,-0.7,1951,"05"
195106,0.2,1951,"06"
195107,-1,1951,"07"
195108,-0.2,1951,"08"
195109,-1.1,1951,"09"
195110,-1,1951,"10"
195111,-0.8,1951,"11"
195112,-0.7,1951,"12"
195201,-0.9,1952,"01"
195202,-0.6,1952,"02"
195203,0.5,1952,"03"
195204,-0.2,1952,"04"
195205,0.8,1952,"05"
195206,0.7,1952,"06"
195207,0.5,1952,"07"
195208,0.1,1952,"08"
195209,-0.2,1952,"09"
195210,0.4,1952,"10"
195211,0,1952,"11"
195212,-1.2,1952,"12"
195301,0.3,1953,"01"
195302,-0.5,1953,"02"
195303,-0.2,1953,"03"
195304,0.2,1953,"04"
195305,-1.7,1953,"05"
195306,0.1,1953,"06"
195307,0,1953,"07"
195308,-1.2,1953,"08"
195309,-1.2,1953,"09"
195310,0.1,1953,"10"
195311,-0.3,1953,"11"
195312,-0.5,1953,"12"
195401,0.7,1954,"01"
195402,-0.3,1954,"02"
195403,0.3,1954,"03"
195404,0.6,1954,"04"
195405,0.5,1954,"05"
195406,0.1,1954,"06"
195407,0.4,1954,"07"
195408,1.1,1954,"08"
195409,0.2,1954,"09"
195410,0.3,1954,"10"
195411,0.1,1954,"11"
195412,1.4,1954,"12"
195501,-0.5,1955,"01"
195502,1.9,1955,"02"
195503,0.6,1955,"03"
195504,-0.1,1955,"04"
195505,1,1955,"05"
195506,1.3,1955,"06"
195507,1.6,1955,"07"
195508,1.5,1955,"08"
195509,1.3,1955,"09"
195510,1.5,1955,"10"
195511,1.2,1955,"11"
195512,1,1955,"12"
195601,1.3,1956,"01"
195602,1.6,1956,"02"
195603,1.3,1956,"03"
195604,0.9,1956,"04"
195605,1.4,1956,"05"
195606,1.1,1956,"06"
195607,1.1,1956,"07"
195608,1.2,1956,"08"
195609,0.1,1956,"09"
195610,1.8,1956,"10"
195611,0.2,1956,"11"
195612,1.1,1956,"12"
195701,0.6,1957,"01"
195702,-0.1,1957,"02"
195703,0.2,1957,"03"
195704,0.2,1957,"04"
195705,-0.7,1957,"05"
195706,0.2,1957,"06"
195707,0.2,1957,"07"
195708,-0.5,1957,"08"
195709,-0.9,1957,"09"
195710,0,1957,"10"
195711,-1,1957,"11"
195712,-0.3,1957,"12"
195801,-1.9,1958,"01"
195802,-0.5,1958,"02"
195803,0.3,1958,"03"
195804,0.4,1958,"04"
195805,-0.5,1958,"05"
195806,0.3,1958,"06"
195807,0.4,1958,"07"
195808,0.9,1958,"08"
195809,-0.3,1958,"09"
195810,0.1,1958,"10"
195811,-0.4,1958,"11"
195812,-0.6,1958,"12"
195901,-0.9,1959,"01"
195902,-1.4,1959,"02"
195903,1.3,1959,"03"
195904,0.4,1959,"04"
195905,0.5,1959,"05"
195906,-0.1,1959,"06"
195907,-0.3,1959,"07"
195908,-0.1,1959,"08"
195909,0,1959,"09"
195910,0.5,1959,"10"
195911,0.9,1959,"11"
195912,0.9,1959,"12"
196001,0.1,1960,"01"
196002,0.1,1960,"02"
196003,1,1960,"03"
196004,0.8,1960,"04"
196005,0.5,1960,"05"
196006,0.1,1960,"06"
196007,0.5,1960,"07"
196008,0.8,1960,"08"
196009,0.7,1960,"09"
196010,0.1,1960,"10"
196011,0.5,1960,"11"
196012,0.8,1960,"12"
196101,-0.3,1961,"01"
196102,0.9,1961,"02"
196103,-1.8,1961,"03"
196104,0.8,1961,"04"
196105,0.3,1961,"05"
196106,0.1,1961,"06"
196107,0.2,1961,"07"
196108,0.2,1961,"08"
196109,0.1,1961,"09"
196110,-0.3,1961,"10"
196111,0.5,1961,"11"
196112,1.5,1961,"12"
196201,2,1962,"01"
196202,-0.3,1962,"02"
196203,0.1,1962,"03"
196204,0.2,1962,"04"
196205,1.1,1962,"05"
196206,0.7,1962,"06"
196207,0.1,1962,"07"
196208,0.6,1962,"08"
196209,0.4,1962,"09"
196210,1,1962,"10"
196211,0.3,1962,"11"
196212,0.2,1962,"12"
196301,1,1963,"01"
196302,0.6,1963,"02"
196303,1.1,1963,"03"
196304,0.8,1963,"04"
196305,0.4,1963,"05"
196306,-0.5,1963,"06"
196307,-0.1,1963,"07"
196308,0,1963,"08"
196309,-0.6,1963,"09"
196310,-1.2,1963,"10"
196311,-0.8,1963,"11"
196312,-1.2,1963,"12"
196401,-0.4,1964,"01"
196402,0,1964,"02"
196403,1.1,1964,"03"
196404,1.1,1964,"04"
196405,0.2,1964,"05"
196406,0.8,1964,"06"
196407,0.6,1964,"07"
196408,1.5,1964,"08"
196409,1.3,1964,"09"
196410,1.3,1964,"10"
196411,0.2,1964,"11"
196412,-0.3,1964,"12"
196501,-0.4,1965,"01"
196502,0.4,1965,"02"
196503,0.8,1965,"03"
196504,-0.5,1965,"04"
196505,0.2,1965,"05"
196506,-0.6,1965,"06"
196507,-1.8,1965,"07"
196508,-0.7,1965,"08"
196509,-1.3,1965,"09"
196510,-0.9,1965,"10"
196511,-1.5,1965,"11"
196512,0.2,1965,"12"
196601,-1.3,1966,"01"
196602,-0.2,1966,"02"
196603,-0.9,1966,"03"
196604,-0.2,1966,"04"
196605,-0.4,1966,"05"
196606,0.3,1966,"06"
196607,0.1,1966,"07"
196608,0.6,1966,"08"
196609,-0.2,1966,"09"
196610,-0.1,1966,"10"
196611,0,1966,"11"
196612,-0.3,1966,"12"
196701,1.7,1967,"01"
196702,1.7,1967,"02"
196703,1.2,1967,"03"
196704,0,1967,"04"
196705,0,1967,"05"
196706,0.6,1967,"06"
196707,0.2,1967,"07"
196708,0.7,1967,"08"
196709,0.5,1967,"09"
196710,0.1,1967,"10"
196711,-0.4,1967,"11"
196712,-0.6,1967,"12"
196801,0.5,1968,"01"
196802,1.3,1968,"02"
196803,0.1,1968,"03"
196804,0,1968,"04"
196805,1.2,1968,"05"
196806,1.1,1968,"06"
196807,0.7,1968,"07"
196808,0.3,1968,"08"
196809,-0.3,1968,"09"
196810,-0.1,1968,"10"
196811,-0.3,1968,"11"
196812,0.2,1968,"12"
196901,-1.5,1969,"01"
196902,-0.5,1969,"02"
196903,0.4,1969,"03"
196904,-0.4,1969,"04"
196905,-0.2,1969,"05"
196906,0.2,1969,"06"
196907,-0.5,1969,"07"
196908,-0.1,1969,"08"
196909,-1,1969,"09"
196910,-0.9,1969,"10"
196911,-0.1,1969,"11"
196912,0.4,1969,"12"
197001,-1.1,1970,"01"
197002,-1,1970,"02"
197003,0.6,1970,"03"
197004,-0.1,1970,"04"
197005,0.4,1970,"05"
197006,1,1970,"06"
197007,-0.4,1970,"07"
197008,0.6,1970,"08"
197009,1.2,1970,"09"
197010,1,1970,"10"
197011,1.6,1970,"11"
197012,1.9,1970,"12"
197101,0.4,1971,"01"
197102,2,1971,"02"
197103,2.3,1971,"03"
197104,1.7,1971,"04"
197105,0.9,1971,"05"
197106,0.4,1971,"06"
197107,0.2,1971,"07"
197108,1.5,1971,"08"
197109,1.4,1971,"09"
197110,1.7,1971,"10"
197111,0.5,1971,"11"
197112,0.3,1971,"12"
197201,0.5,1972,"01"
197202,1.1,1972,"02"
197203,0.6,1972,"03"
197204,-0.1,1972,"04"
197205,-1.6,1972,"05"
197206,-0.5,1972,"06"
197207,-1.4,1972,"07"
197208,-0.5,1972,"08"
197209,-1.4,1972,"09"
197210,-0.9,1972,"10"
197211,-0.3,1972,"11"
197212,-1.3,1972,"12"
197301,-0.3,1973,"01"
197302,-1.4,1973,"02"
197303,0.7,1973,"03"
197304,0.1,1973,"04"
197305,0.4,1973,"05"
197306,1.1,1973,"06"
197307,0.6,1973,"07"
197308,1.3,1973,"08"
197309,1.2,1973,"09"
197310,0.8,1973,"10"
197311,2.6,1973,"11"
197312,1.8,1973,"12"
197401,2.4,1974,"01"
197402,2.1,1974,"02"
197403,2.4,1974,"03"
197404,0.9,1974,"04"
197405,1,1974,"05"
197406,0.4,1974,"06"
197407,1.1,1974,"07"
197408,0.8,1974,"08"
197409,1.1,1974,"09"
197410,0.9,1974,"10"
197411,-0.1,1974,"11"
197412,0.2,1974,"12"
197501,-0.5,1975,"01"
197502,0.8,1975,"02"
197503,1.6,1975,"03"
197504,1.2,1975,"04"
197505,0.6,1975,"05"
197506,1.3,1975,"06"
197507,1.9,1975,"07"
197508,2,1975,"08"
197509,2.1,1975,"09"
197510,1.7,1975,"10"
197511,1.2,1975,"11"
197512,2.1,1975,"12"
197601,1.4,1976,"01"
197602,1.7,1976,"02"
197603,1.7,1976,"03"
197604,0.3,1976,"04"
197605,0.4,1976,"05"
197606,0.3,1976,"06"
197607,-0.9,1976,"07"
197608,-0.8,1976,"08"
197609,-1.1,1976,"09"
197610,0.4,1976,"10"
197611,0.7,1976,"11"
197612,-0.3,1976,"12"
197701,-0.4,1977,"01"
197702,1.2,1977,"02"
197703,-0.5,1977,"03"
