"yr","SOI.mean","SOI.max","SOI.min","SOI.mean.win","SOI.mean.spr","SOI.mean.sum","SOI.mean.fal"
1951,-0.275,1.5,-1.1,0.766666666666667,-0.266666666666667,-0.766666666666667,-0.833333333333333
1952,-0.00833333333333333,0.8,-1.2,-0.333333333333333,0.433333333333333,0.133333333333333,-0.266666666666667
1953,-0.408333333333333,0.3,-1.7,-0.133333333333333,-0.466666666666667,-0.8,-0.233333333333333
1954,0.45,1.4,-0.3,0.233333333333333,0.4,0.566666666666667,0.6
1955,1.025,1.9,-0.5,0.666666666666667,0.733333333333333,1.46666666666667,1.23333333333333
1956,1.09166666666667,1.8,0.1,1.4,1.13333333333333,0.8,1.03333333333333
1957,-0.175,0.6,-1,0.233333333333333,-0.1,-0.4,-0.433333333333333
1958,-0.15,0.9,-1.9,-0.7,0.0666666666666667,0.333333333333333,-0.3
1959,0.141666666666667,1.3,-1.4,-0.333333333333333,0.266666666666667,-0.133333333333333,0.766666666666667
1960,0.5,1,0.1,0.4,0.466666666666667,0.666666666666667,0.466666666666667
1961,0.183333333333333,1.5,-1.8,-0.4,0.4,0.166666666666667,0.566666666666667
1962,0.533333333333333,2,-0.3,0.6,0.666666666666667,0.366666666666667,0.5
1963,-0.0416666666666667,1.1,-1.2,0.9,0.233333333333333,-0.233333333333333,-1.06666666666667
1964,0.616666666666667,1.5,-0.4,0.233333333333333,0.7,1.13333333333333,0.4
1965,-0.508333333333333,0.8,-1.8,0.266666666666667,-0.3,-1.26666666666667,-0.733333333333333
1966,-0.216666666666667,0.6,-1.3,-0.8,-0.1,0.166666666666667,-0.133333333333333
1967,0.475,1.7,-0.6,1.53333333333333,0.2,0.466666666666667,-0.3
1968,0.391666666666667,1.3,-0.3,0.633333333333333,0.766666666666667,0.233333333333333,-0.0666666666666667
1969,-0.35,0.4,-1.5,-0.533333333333333,-0.133333333333333,-0.533333333333333,-0.2
1970,0.475,1.9,-1.1,-0.5,0.433333333333333,0.466666666666667,1.5
1971,1.10833333333333,2.3,0.2,1.56666666666667,1,1.03333333333333,0.833333333333333
