"soi.date.orig","SOI","yr","mo.no.char","mo.no","mo.char"
195101,1.5,1951,"01",1,"Jan"
195102,0.9,1951,"02",2,"Feb"
195103,-0.1,1951,"03",3,"Mar"
195104,-0.3,1951,"04",4,"Apr"
195105,-0.7,1951,"05",5,"May"
195106,0.2,1951,"06",6,"Jun"
195107,-1,1951,"07",7,"Jul"
195108,-0.2,1951,"08",8,"Aug"
195109,-1.1,1951,"09",9,"Sep"
195110,-1,1951,"10",10,"Oct"
195111,-0.8,1951,"11",11,"Nov"
195112,-0.7,1951,"12",12,"Dec"
195201,-0.9,1952,"01",1,"Jan"
195202,-0.6,1952,"02",2,"Feb"
195203,0.5,1952,"03",3,"Mar"
195204,-0.2,1952,"04",4,"Apr"
195205,0.8,1952,"05",5,"May"
195206,0.7,1952,"06",6,"Jun"
195207,0.5,1952,"07",7,"Jul"
195208,0.1,1952,"08",8,"Aug"
195209,-0.2,1952,"09",9,"Sep"
195210,0.4,1952,"10",10,"Oct"
195211,0,1952,"11",11,"Nov"
195212,-1.2,1952,"12",12,"Dec"
195301,0.3,1953,"01",1,"Jan"
195302,-0.5,1953,"02",2,"Feb"
195303,-0.2,1953,"03",3,"Mar"
195304,0.2,1953,"04",4,"Apr"
195305,-1.7,1953,"05",5,"May"
195306,0.1,1953,"06",6,"Jun"
195307,0,1953,"07",7,"Jul"
195308,-1.2,1953,"08",8,"Aug"
195309,-1.2,1953,"09",9,"Sep"
195310,0.1,1953,"10",10,"Oct"
195311,-0.3,1953,"11",11,"Nov"
195312,-0.5,1953,"12",12,"Dec"
195401,0.7,1954,"01",1,"Jan"
195402,-0.3,1954,"02",2,"Feb"
195403,0.3,1954,"03",3,"Mar"
195404,0.6,1954,"04",4,"Apr"
195405,0.5,1954,"05",5,"May"
195406,0.1,1954,"06",6,"Jun"
195407,0.4,1954,"07",7,"Jul"
195408,1.1,1954,"08",8,"Aug"
195409,0.2,1954,"09",9,"Sep"
195410,0.3,1954,"10",10,"Oct"
195411,0.1,1954,"11",11,"Nov"
195412,1.4,1954,"12",12,"Dec"
195501,-0.5,1955,"01",1,"Jan"
195502,1.9,1955,"02",2,"Feb"
195503,0.6,1955,"03",3,"Mar"
195504,-0.1,1955,"04",4,"Apr"
195505,1,1955,"05",5,"May"
195506,1.3,1955,"06",6,"Jun"
195507,1.6,1955,"07",7,"Jul"
195508,1.5,1955,"08",8,"Aug"
195509,1.3,1955,"09",9,"Sep"
195510,1.5,1955,"10",10,"Oct"
195511,1.2,1955,"11",11,"Nov"
195512,1,1955,"12",12,"Dec"
195601,1.3,1956,"01",1,"Jan"
195602,1.6,1956,"02",2,"Feb"
195603,1.3,1956,"03",3,"Mar"
195604,0.9,1956,"04",4,"Apr"
195605,1.4,1956,"05",5,"May"
195606,1.1,1956,"06",6,"Jun"
195607,1.1,1956,"07",7,"Jul"
195608,1.2,1956,"08",8,"Aug"
195609,0.1,1956,"09",9,"Sep"
195610,1.8,1956,"10",10,"Oct"
195611,0.2,1956,"11",11,"Nov"
195612,1.1,1956,"12",12,"Dec"
195701,0.6,1957,"01",1,"Jan"
195702,-0.1,1957,"02",2,"Feb"
195703,0.2,1957,"03",3,"Mar"
195704,0.2,1957,"04",4,"Apr"
195705,-0.7,1957,"05",5,"May"
195706,0.2,1957,"06",6,"Jun"
195707,0.2,1957,"07",7,"Jul"
195708,-0.5,1957,"08",8,"Aug"
195709,-0.9,1957,"09",9,"Sep"
195710,0,1957,"10",10,"Oct"
195711,-1,1957,"11",11,"Nov"
195712,-0.3,1957,"12",12,"Dec"
195801,-1.9,1958,"01",1,"Jan"
195802,-0.5,1958,"02",2,"Feb"
195803,0.3,1958,"03",3,"Mar"
195804,0.4,1958,"04",4,"Apr"
195805,-0.5,1958,"05",5,"May"
195806,0.3,1958,"06",6,"Jun"
195807,0.4,1958,"07",7,"Jul"
195808,0.9,1958,"08",8,"Aug"
195809,-0.3,1958,"09",9,"Sep"
195810,0.1,1958,"10",10,"Oct"
195811,-0.4,1958,"11",11,"Nov"
195812,-0.6,1958,"12",12,"Dec"
195901,-0.9,1959,"01",1,"Jan"
195902,-1.4,1959,"02",2,"Feb"
195903,1.3,1959,"03",3,"Mar"
195904,0.4,1959,"04",4,"Apr"
195905,0.5,1959,"05",5,"May"
195906,-0.1,1959,"06",6,"Jun"
195907,-0.3,1959,"07",7,"Jul"
195908,-0.1,1959,"08",8,"Aug"
195909,0,1959,"09",9,"Sep"
195910,0.5,1959,"10",10,"Oct"
195911,0.9,1959,"11",11,"Nov"
195912,0.9,1959,"12",12,"Dec"
196001,0.1,1960,"01",1,"Jan"
196002,0.1,1960,"02",2,"Feb"
196003,1,1960,"03",3,"Mar"
196004,0.8,1960,"04",4,"Apr"
196005,0.5,1960,"05",5,"May"
196006,0.1,1960,"06",6,"Jun"
196007,0.5,1960,"07",7,"Jul"
196008,0.8,1960,"08",8,"Aug"
196009,0.7,1960,"09",9,"Sep"
196010,0.1,1960,"10",10,"Oct"
196011,0.5,1960,"11",11,"Nov"
196012,0.8,1960,"12",12,"Dec"
196101,-0.3,1961,"01",1,"Jan"
196102,0.9,1961,"02",2,"Feb"
196103,-1.8,1961,"03",3,"Mar"
196104,0.8,1961,"04",4,"Apr"
196105,0.3,1961,"05",5,"May"
196106,0.1,1961,"06",6,"Jun"
196107,0.2,1961,"07",7,"Jul"
196108,0.2,1961,"08",8,"Aug"
196109,0.1,1961,"09",9,"Sep"
196110,-0.3,1961,"10",10,"Oct"
196111,0.5,1961,"11",11,"Nov"
196112,1.5,1961,"12",12,"Dec"
196201,2,1962,"01",1,"Jan"
196202,-0.3,1962,"02",2,"Feb"
196203,0.1,1962,"03",3,"Mar"
196204,0.2,1962,"04",4,"Apr"
196205,1.1,1962,"05",5,"May"
196206,0.7,1962,"06",6,"Jun"
196207,0.1,1962,"07",7,"Jul"
196208,0.6,1962,"08",8,"Aug"
196209,0.4,1962,"09",9,"Sep"
196210,1,1962,"10",10,"Oct"
196211,0.3,1962,"11",11,"Nov"
196212,0.2,1962,"12",12,"Dec"
196301,1,1963,"01",1,"Jan"
196302,0.6,1963,"02",2,"Feb"
196303,1.1,1963,"03",3,"Mar"
196304,0.8,1963,"04",4,"Apr"
196305,0.4,1963,"05",5,"May"
196306,-0.5,1963,"06",6,"Jun"
196307,-0.1,1963,"07",7,"Jul"
196308,0,1963,"08",8,"Aug"
196309,-0.6,1963,"09",9,"Sep"
